
Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,0.6,0.6,0.6,0.6
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.6
0.8,1.0,1.0,1.0,1.0
0.6,0.6,0.6,0.6,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.8,0.6,1.0,1.0,1.0
0.8,1.0,0.6,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.6,0.6
0.8,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
1.0,1.0,0.6,0.6,0.6
0.8,1.0,1.0,0.6,1.0
0.8,0.6,0.6,0.6,1.0
1.0,1.0,1.0,1.0,1.0

Flexible Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.0,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.2,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.6,1.0,0.0,0.6,1.0
0.2,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.4,0.4,0.0,0.0,0.0
0.6,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.4,0.4,1.0,1.0,1.0

Fixed Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.0,0.013157894736842105,0.013888888888888888,0.017241379310344827,0.0
0.022222222222222223,0.0625,0.04,0.02127659574468085,0.08333333333333333
0.012903225806451613,0.0136986301369863,0.020833333333333332,0.0,0.0
0.0,0.010416666666666666,0.0,0.0,0.0136986301369863
0.012658227848101266,0.010526315789473684,0.0,0.010526315789473684,0.019230769230769232
0.0,0.018518518518518517,0.0,0.016129032258064516,0.0
0.031578947368421054,0.011764705882352941,0.03333333333333333,0.01694915254237288,0.025
0.043478260869565216,0.0,0.0,0.0136986301369863,0.018867924528301886
0.0069767441860465115,0.016666666666666666,0.045454545454545456,0.07692307692307693,0.017857142857142856
0.0,0.0,0.010526315789473684,0.011494252873563218,0.01694915254237288
0.008602150537634409,0.01098901098901099,0.0,0.015873015873015872,0.08333333333333333
0.0,0.014492753623188406,0.01875,0.010344827586206896,0.02702702702702703
0.0,0.018518518518518517,0.0,0.0,0.02702702702702703
0.034482758620689655,0.0,0.022222222222222223,0.0,0.0
0.021052631578947368,0.010752688172043012,0.008823529411764706,0.011111111111111112,0.013636363636363636
0.0,0.013888888888888888,0.01639344262295082,0.014705882352941176,0.01020408163265306
0.023529411764705882,0.0,0.02857142857142857,0.01818181818181818,0.010752688172043012
0.0,0.01282051282051282,0.041666666666666664,0.01639344262295082,0.0
0.022222222222222223,0.010309278350515464,0.023809523809523808,0.0,0.0
0.0,0.0,0.0196078431372549,0.0,0.012658227848101266

